origin IP,country,ISP,outbound IPs,outbound ISPs,outbound countries,time,test_dname_weak,test_ns0,test_ns0_auth,test_ns,test_ns_auth,test_ns2,test_ns2_auth,test_b4,test_u1_auth,test_u3_2,test_u3_3,test_u3_4,test_w7,test_w8,test_ns_a_ns,test_ns_a_a,test_x_ns_a_ns,test_x_ns_a_a,sig guess match
193.158.52.150,DE,"Deutsche Telekom AG, Internet service provider",194.25.0.52#1612|194.25.0.68#814|194.25.0.60#96|193.158.52.156#15,"Deutsche Telekom AG#2522|Deutsche Telekom AG, Internet service provider#15",DE#2537,Fri Nov 25 20:57:47 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),8/30 (0.267),15/30 (0.500),18/30 (0.600),19/30 (0.633),26/30 (0.867),18/30 (0.600),19/30 (0.633),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),
193.158.52.150,DE,"Deutsche Telekom AG, Internet service provider",194.25.0.52#1514|194.25.0.68#729|194.25.0.60#694|193.158.52.156#35,"Deutsche Telekom AG#2937|Deutsche Telekom AG, Internet service provider#35",DE#2972,Sat Nov 26 14:02:32 2016,0/30 (0.000),11/30 (0.367),14/30 (0.467),17/30 (0.567),10/30 (0.333),12/30 (0.400),8/30 (0.267),11/30 (0.367),20/30 (0.667),14/30 (0.467),6/30 (0.200),12/30 (0.400),14/30 (0.467),12/30 (0.400),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),* Microsoft DNS 6.0
195.145.188.66,DE,"Deutsche Telekom AG, Internet service provider",217.237.148.89#607|217.237.148.91#578|217.237.148.90#296|217.237.148.86#284|217.237.148.85#251|217.237.148.87#232|217.237.148.84#140|217.237.148.88#94|217.237.149.156#36|217.237.149.161#30|217.237.149.221#25|217.237.149.226#24|217.237.150.96#23|217.237.151.96#22|217.237.148.122#19|217.243.166.114#18|217.237.150.91#17|217.237.151.91#16|217.237.148.117#15|217.237.151.158#15|217.237.151.153#13,Deutsche Telekom AG#2737|#18,DE#2755,Sat Nov 26 13:46:32 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),! Non-DNAME resolver forwarding to Google public DNS
195.145.188.66,DE,"Deutsche Telekom AG, Internet service provider",217.237.148.84#451|217.237.148.90#432|217.237.148.91#296|217.237.148.89#262|217.237.148.86#239|217.237.148.87#235|217.237.148.88#170|217.237.148.85#165|217.237.149.157#12|217.243.166.114#12|217.237.149.156#11|217.237.149.161#11|217.237.149.154#10|217.237.149.221#8|217.237.149.222#7|217.237.149.226#7|217.237.149.219#7|217.237.148.122#6|217.237.148.111#6|217.237.151.158#6|217.237.150.96#6|217.237.151.96#6|217.237.151.151#6|217.237.150.92#6|217.237.150.89#6|217.237.151.89#6|217.237.151.92#5|217.237.150.91#5|217.237.148.118#4|217.237.151.154#4|217.237.151.91#4|217.237.151.153#4|217.237.148.117#4,Deutsche Telekom AG#2407|#12,DE#2419,Fri Nov 25 20:57:46 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),20/30 (0.667),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),
80.153.38.28,DE,"Deutsche Telekom AG, Internet service provider",217.237.149.225#610|217.237.149.219#607|217.237.149.226#296|217.237.149.222#283|217.237.149.221#257|217.237.149.223#246|217.237.149.220#148|217.237.149.224#132|217.237.151.32#38|217.237.151.35#23|80.153.38.28#22|217.237.151.37#15,"Deutsche Telekom AG#2655|Deutsche Telekom AG, Internet service provider#22",DE#2677,Sat Nov 26 14:58:25 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),! Non-DNAME resolver forwarding to Google public DNS
80.153.38.28,DE,"Deutsche Telekom AG, Internet service provider",217.237.149.220#465|217.237.149.226#437|217.237.149.219#303|217.237.149.225#272|217.237.149.222#244|217.237.149.223#231|217.237.149.224#185|217.237.149.221#168|217.237.151.32#14|217.237.151.33#12|80.153.38.28#11|217.237.151.35#6|217.237.151.36#5|217.237.151.38#5|217.237.151.37#5,"Deutsche Telekom AG#2352|Deutsche Telekom AG, Internet service provider#11",DE#2363,Fri Nov 25 20:57:46 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),19/30 (0.633),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),
194.25.141.202,DE,"Deutsche Telekom AG, Internet service provider",74.125.73.87#39|74.125.181.13#32|74.125.47.2#32|74.125.47.6#31|74.125.47.9#30|74.125.47.12#30|74.125.47.11#30|74.125.47.7#29|74.125.47.138#28|74.125.47.133#28|74.125.181.1#28|74.125.181.8#27|74.125.181.5#27|74.125.47.4#27|74.125.47.8#27|74.125.47.147#27|74.125.181.3#26|74.125.73.83#26|74.125.181.9#26|74.125.73.82#26|74.125.181.12#25|74.125.47.140#25|74.125.73.71#25|74.125.181.6#25|74.125.47.152#25|74.125.47.149#24|74.125.181.4#24|74.125.73.69#24|74.125.47.5#24|74.125.181.14#23|74.125.73.72#22|74.125.181.10#22|74.125.73.84#22|74.125.47.136#21|74.125.47.129#21|74.125.47.139#21|74.125.181.2#21|74.125.47.132#21|74.125.73.76#21|74.125.73.77#21|74.125.47.13#21|74.125.73.89#21|74.125.47.145#21|74.125.73.74#21|74.125.181.7#21|74.125.73.88#21|74.125.73.85#20|74.125.47.144#20|74.125.47.153#20|74.125.47.10#20|74.125.73.79#20|74.125.47.131#20|74.125.47.130#20|74.125.47.148#20|74.125.47.154#19|74.125.47.137#19|74.125.47.1#19|74.125.47.135#19|74.125.73.75#19|74.125.73.78#19|74.125.47.3#19|74.125.47.143#19|74.125.181.15#18|74.125.73.66#18|74.125.73.70#18|74.125.47.142#18|74.125.73.65#18|74.125.73.80#18|74.125.73.73#17|74.125.181.11#17|74.125.47.134#16|74.125.47.150#16|74.125.73.67#16|74.125.47.141#16|74.125.73.68#15|74.125.47.146#15|74.125.47.151#13|74.125.73.81#12|74.125.181.215#11|74.125.181.204#10|74.125.181.197#9|74.125.181.202#9|74.125.181.213#9|74.125.181.206#9|74.125.73.86#9|74.125.181.216#8|74.125.181.208#7|74.125.181.205#7|74.125.181.200#7|74.125.181.203#7|74.125.181.193#7|74.125.181.194#7|74.125.181.212#7|74.125.181.211#6|74.125.181.209#6|74.125.181.207#6|74.125.181.201#6|74.125.181.210#5|74.125.181.217#5|74.125.181.195#5|74.125.181.199#5|74.125.181.214#4|74.125.181.198#1|74.125.181.196#1,Google Inc.#1905,US#1905,Sat Nov 26 16:16:40 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/29 (0.000),0/29 (0.000),0/29 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),! Non-DNAME resolver forwarding to Google public DNS
194.25.141.202,DE,"Deutsche Telekom AG, Internet service provider",74.125.47.2#32|74.125.47.8#31|74.125.47.10#29|74.125.47.7#29|74.125.47.4#27|74.125.47.152#27|74.125.181.15#26|74.125.47.150#25|74.125.47.148#25|74.125.181.12#24|74.125.181.14#24|74.125.47.13#24|74.125.73.86#24|74.125.181.3#23|74.125.181.8#23|74.125.181.4#23|74.125.181.10#23|74.125.47.11#23|74.125.181.11#23|74.125.73.85#22|74.125.181.2#22|74.125.47.153#22|74.125.47.146#22|74.125.73.83#22|74.125.181.6#22|74.125.73.88#22|74.125.47.154#21|74.125.47.129#21|74.125.73.66#21|74.125.47.132#21|74.125.47.135#21|74.125.181.7#21|74.125.47.147#21|74.125.47.6#20|74.125.181.5#20|74.125.73.73#20|74.125.47.133#20|74.125.73.80#20|74.125.47.3#20|74.125.73.67#20|74.125.181.9#20|74.125.73.81#20|74.125.73.87#19|74.125.47.131#19|74.125.47.5#19|74.125.47.12#19|74.125.73.78#19|74.125.47.143#19|74.125.47.141#19|74.125.47.151#19|74.125.47.145#19|74.125.47.137#18|74.125.73.69#18|74.125.47.9#18|74.125.73.71#18|74.125.73.74#18|74.125.181.1#18|74.125.47.136#17|74.125.47.139#17|74.125.47.149#17|74.125.73.79#17|74.125.47.130#17|74.125.181.13#16|74.125.47.134#16|74.125.73.65#16|74.125.73.84#16|74.125.73.70#15|74.125.47.1#15|74.125.73.76#15|74.125.47.140#15|74.125.73.77#15|74.125.73.75#15|74.125.73.82#15|74.125.181.205#14|74.125.47.138#14|74.125.47.144#14|74.125.73.89#14|74.125.47.142#13|74.125.73.72#13|74.125.73.68#12|74.125.181.202#12|74.125.181.195#11|74.125.181.201#11|74.125.181.200#10|74.125.181.211#9|74.125.181.206#9|74.125.181.212#9|74.125.181.193#8|74.125.181.213#8|74.125.181.196#8|74.125.181.210#7|74.125.181.208#7|74.125.181.209#7|74.125.181.194#7|74.125.181.214#7|74.125.181.199#7|74.125.181.216#6|74.125.181.198#5|74.125.181.207#5|74.125.181.204#5|74.125.181.197#4|74.125.181.217#4|74.125.181.203#4|74.125.181.215#3,Google Inc.#1766,US#1766,Fri Nov 25 20:57:46 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),! Non-DNAME resolver forwarding to Google public DNS
2.162.9.190,DE,T-Mobile Deutschland GmbH,217.237.150.220#80|217.237.148.10#78|217.237.150.94#73|217.237.150.150#73|217.237.151.219#71|217.237.150.148#71|217.237.149.222#69|217.237.150.34#67|217.237.151.156#67|217.237.151.217#66|217.237.149.159#65|217.237.151.35#65|217.237.148.120#64|217.237.151.154#64|217.237.151.94#62|217.237.149.224#62|217.237.150.92#60|217.237.148.87#59|217.237.151.37#59|217.237.151.92#58|217.237.148.89#57|217.237.150.218#56|217.237.148.118#53|217.237.148.88#53|217.237.150.219#53|217.237.150.32#52|217.237.150.215#49|217.237.150.31#47|217.237.150.149#47|217.237.151.216#46|217.237.151.36#45|217.237.149.157#44|217.237.150.222#44|217.237.151.155#44|217.237.148.8#43|217.237.148.119#43|217.237.149.223#41|217.237.151.34#41|217.237.149.226#41|217.237.150.96#40|217.237.151.39#39|217.237.150.33#39|217.237.151.220#39|217.237.150.217#39|217.237.150.36#38|217.237.148.111#38|217.237.150.151#38|217.237.151.95#37|217.237.151.214#36|217.237.150.93#36|217.237.148.117#36|217.237.148.86#36|217.237.151.218#36|217.237.150.152#36|217.237.150.91#36|217.237.148.12#35|217.237.150.147#35|217.237.151.153#35|217.237.149.225#35|217.237.149.156#34|217.237.148.122#34|217.237.150.29#33|217.237.149.221#33|217.237.150.89#33|217.237.148.7#32|217.237.148.11#32|217.237.151.93#32|217.237.150.146#30|217.237.148.91#30|217.237.151.152#30|217.237.148.9#29|217.237.148.5#29|217.237.148.85#29|217.237.151.96#28|217.237.150.95#27|217.237.151.158#27|217.237.151.221#26|217.237.148.90#26|217.237.148.84#26|217.237.149.219#25|217.237.151.157#25|217.237.149.154#24|217.237.151.91#24|217.237.150.35#23|217.237.149.160#23|217.237.148.6#23|217.237.148.116#23|217.237.151.151#23|217.237.150.221#22|217.237.149.155#22|217.237.151.33#22|217.237.151.38#21|217.237.151.90#21|217.237.150.216#21|217.237.149.158#21|217.237.151.89#21|217.237.150.90#21|217.237.150.145#21|217.237.151.32#20|217.237.149.161#20|217.237.148.121#18|217.237.149.220#17|217.237.151.215#15|217.237.150.30#10,Deutsche Telekom AG#4097,DE#4097,Fri Nov 25 20:57:49 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),5/33 (0.152),0/1 (0.000),0/1 (0.000),0/1 (0.000),1/1 (1.000),
2.162.9.190,DE,T-Mobile Deutschland GmbH,217.237.148.9#112|217.237.151.153#107|217.237.148.117#99|217.237.150.33#97|217.237.150.91#97|217.237.150.149#95|217.237.148.119#94|217.237.150.31#90|217.237.151.91#88|217.237.150.219#87|217.237.151.36#84|217.237.151.218#84|217.237.149.223#83|217.237.149.156#83|217.237.151.93#80|217.237.149.158#78|217.237.151.155#76|217.237.150.147#72|217.237.151.34#71|217.237.148.88#71|217.237.151.216#69|217.237.149.221#64|217.237.150.217#64|217.237.148.86#58|217.237.151.220#53|217.237.148.90#52|217.237.150.221#51|217.237.148.7#50|217.237.150.93#50|217.237.150.222#45|217.237.151.221#44|217.237.148.121#44|217.237.150.36#42|217.237.148.11#41|217.237.149.157#41|217.237.150.96#40|217.237.148.91#40|217.237.149.226#38|217.237.151.96#38|217.237.151.157#38|217.237.148.118#36|217.237.150.151#36|217.237.149.225#34|217.237.150.32#33|217.237.151.151#32|217.237.149.154#31|217.237.150.29#31|217.237.150.34#31|217.237.151.219#31|217.237.151.35#31|217.237.151.217#31|217.237.151.156#31|217.237.151.38#30|217.237.148.8#30|217.237.148.10#30|217.237.151.89#29|217.237.148.122#29|217.237.149.160#29|217.237.150.215#28|217.237.149.159#28|217.237.150.145#28|217.237.150.152#28|217.237.151.39#27|217.237.148.5#27|217.237.150.150#27|217.237.149.155#26|217.237.150.148#26|217.237.151.154#26|217.237.151.95#26|217.237.150.35#26|217.237.151.152#26|217.237.148.89#25|217.237.150.94#25|217.237.151.214#25|217.237.148.111#25|217.237.149.222#24|217.237.150.220#24|217.237.149.224#24|217.237.150.218#24|217.237.151.32#23|217.237.150.89#23|217.237.148.120#22|217.237.149.161#22|217.237.151.158#21|217.237.151.90#20|217.237.149.220#20|217.237.148.12#19|217.237.149.219#19|217.237.151.37#19|217.237.151.33#19|217.237.150.90#19|217.237.148.84#19|217.237.150.95#18|217.237.150.216#18|217.237.151.215#18|217.237.148.87#18|217.237.148.6#18|217.237.150.92#17|217.237.150.146#16|217.237.151.94#14|217.237.148.116#14|217.237.148.85#14|217.237.150.30#13|217.237.151.92#12,Deutsche Telekom AG#4275,DE#4275,Sat Nov 26 17:11:35 2016,0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/30 (0.000),0/3 (0.000),0/3 (0.000),0/3 (0.000),3/3 (1.000),! Non-DNAME resolver forwarding to Google public DNS
